topic,similarity,nouns,probabilities
72,0.06372521648536081,"['タイプ', '見た目', '生理', '争奪戦', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.9162198, 0.06315955, 1.008443e-06, 1.008443e-06, 1.008443e-06, 1.008443e-06, 1.008443e-06, 1.008443e-06, 1.008443e-06, 1.008443e-06]"
22,0.06353526401526893,"['LINE', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'ルンド']","[0.96914214, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06, 1.5090324e-06]"
116,0.06353227874333243,"['海外', '風呂', '状況', '元君', 'ルンド', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.42581537, 0.29851335, 0.2629526, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07, 6.220257e-07]"
166,0.06349724764493181,"['最終', 'マン', '運命', '仕事始め', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.6164098, 0.1916281, 0.1581675, 1.6527816e-06, 1.6527816e-06, 1.6527816e-06, 1.6527816e-06, 1.6527816e-06, 1.6527816e-06, 1.6527816e-06]"
153,0.06348104463985547,"['新曲', 'DNA', 'マシンガン', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.87137324, 0.03136352, 0.021041155, 3.7277862e-06, 3.7277862e-06, 3.7277862e-06, 3.7277862e-06, 3.7277862e-06, 3.7277862e-06, 3.7277862e-06]"
192,0.06346372524180868,"['女性', 'リハ', '水筒', '口調', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.72848785, 0.22333288, 0.022006057, 0.011404898, 7.223109e-07, 7.223109e-07, 7.223109e-07, 7.223109e-07, 7.223109e-07, 7.223109e-07]"
14,0.0634366348882187,"['世代', '歴史', '生理', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '争奪戦']","[0.6254368, 0.33367038, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06, 1.99984e-06]"
20,0.06342136773112393,"['家族', 'あん', '元君', 'ルンド', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.530128, 0.4504856, 9.4807444e-07, 9.4807444e-07, 9.4807444e-07, 9.4807444e-07, 9.4807444e-07, 9.4807444e-07, 9.4807444e-07, 9.4807444e-07]"
146,0.06339544879113337,"['タイトル', '界隈', '元君', 'ルンド', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.90009916, 0.054188125, 2.2355514e-06, 2.2355514e-06, 2.2355514e-06, 2.2355514e-06, 2.2355514e-06, 2.2355514e-06, 2.2355514e-06, 2.2355514e-06]"
82,0.06332769244481111,"['現実', '時代', '感覚', 'ほん', '背筋', '毛穴', '生理', '元君', '田曽', '鉄の女']","[0.4902416, 0.33273926, 0.1177248, 0.036925152, 0.014949499, 3.629134e-07, 3.629134e-07, 3.629134e-07, 3.629134e-07, 3.629134e-07]"
