topic,similarity,nouns,probabilities
156,0.06604878632278874,"['アプリ', '生配信', '届け', 'アカウント', '無料', '同時', 'ライブ映像', 'ライブ配信', '鉄の女', 'CPU']","[0.23616742, 0.23069131, 0.15550624, 0.110264525, 0.073931314, 0.06517327, 0.06408566, 0.055933755, 4.0340902e-07, 4.0340902e-07]"
87,0.0660134011487082,"['タイ', 'エックス', '受け', '手のひら', '会議室', '毛穴', '鉄の女', '生理', '田曽', '総額']","[0.74245715, 0.099061824, 0.052042153, 0.042187463, 0.014576651, 2.429672e-06, 2.429672e-06, 2.429672e-06, 2.429672e-06, 2.429672e-06]"
135,0.06600562628609198,"['部分', 'カス', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', 'トム']","[0.6931776, 0.27680668, 1.467895e-06, 1.467895e-06, 1.467895e-06, 1.467895e-06, 1.467895e-06, 1.467895e-06, 1.467895e-06, 1.467895e-06]"
93,0.06572183653204401,"['おじさん', '好きだ', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.86044014, 0.1209835, 9.0847607e-07, 9.0847607e-07, 9.0847607e-07, 9.0847607e-07, 9.0847607e-07, 9.0847607e-07, 9.0847607e-07, 9.0847607e-07]"
121,0.06547678342512188,"['思い', '仕事始め', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'CPU']","[0.94889903, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06]"
49,0.06532036206234784,"['思い出', 'you', '弾き語り', '仕事始め', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.8284958, 0.12674761, 0.017409766, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06]"
36,0.06530961089975579,"['地域', '本番前', 'オンエア', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.5361278, 0.2467736, 0.1512262, 3.2216237e-06, 3.2216237e-06, 3.2216237e-06, 3.2216237e-06, 3.2216237e-06, 3.2216237e-06, 3.2216237e-06]"
173,0.065256142312761,"['トイレ', '笑顔', '毛穴', '生理', '争奪戦', 'CPU', '総額', 'スペック', '田曽', '鉄の女']","[0.7387772, 0.23043534, 1.5056612e-06, 1.5056612e-06, 1.5056612e-06, 1.5056612e-06, 1.5056612e-06, 1.5056612e-06, 1.5056612e-06, 1.5056612e-06]"
183,0.0652433481236674,"['食べ物', 'マウント', '生理', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '争奪戦']","[0.6998994, 0.21724576, 4.051974e-06, 4.051974e-06, 4.051974e-06, 4.051974e-06, 4.051974e-06, 4.051974e-06, 4.051974e-06, 4.051974e-06]"
10,0.06514400539006857,"['最初', '言い方', 'シロ', '元君', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.84632933, 0.14689548, 0.00011242272, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07]"
